Job Title,Salary Estimate,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Per hour,Employer Provided,min_sal,max_sal,avg_sal,Ratings,Company text,Remote,City,State,Age_Company,Size_greater_1000,Seniority
Operations Engineer II,Employer Provided Salary:$135K - $165K,Oscar Health,Remote,1001 to 5000 Employees,2012.0,Company - Public,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),0,1,135,135,135.0,-1.0,Oscar Health,1,NA,NA,10.0,0,na
"Analyst I/II, Data Science (remote)",Employer Provided Salary:$85K - $139K,"Liberty Mutual Insurance
3.8",Remote,10000+ Employees,1912.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,1,85,85,85.0,3.8,Liberty Mutual Insurance,1,NA,NA,110.0,1,na
Data Scientist - Remote,Employer Provided Salary:$115K - $150K,Emerald Resource Group,Remote,-1,-1.0,-1,-1,-1,-1,0,1,115,115,115.0,-1.0,Emerald Resource Group,1,NA,NA,-1.0,-1,na
Principal Data Scientist - Match Recommendations,Employer Provided Salary:$223K - $324K,"Indeed
4.3",Remote,10000+ Employees,2004.0,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),0,1,223,223,223.0,4.3,Indeed,1,NA,NA,18.0,1,Sr
Data Science Manager,Employer Provided Salary:$90K - $95K,Alliance for Strong Families & Communities,Remote,-1,-1.0,-1,-1,-1,-1,0,1,90,90,90.0,-1.0,Alliance for Strong Families & Communities,1,NA,NA,-1.0,-1,na
"Director I, Data Science",Employer Provided Salary:$126K - $180K,"Liberty Mutual Insurance
3.8",Remote,10000+ Employees,1912.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,1,126,126,126.0,3.8,Liberty Mutual Insurance,1,NA,NA,110.0,1,na
"Engineer I, Data Science & Modeling",$57K - $129K (Glassdoor est.),"CardWorks
3.4","South Jordan, UT",501 to 1000 Employees,1987.0,Company - Private,Banks & Credit Unions,Finance,$50 to $100 million (USD),0,0,57,57,57.0,3.4,CardWorks,0,South Jordan,UT,35.0,1,na
Data Scientist,$78K - $132K (Glassdoor est.),"Verizon
3.9","Tampa, FL",10000+ Employees,2000.0,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),0,0,78,78,78.0,3.9,Verizon,0,Tampa,FL,22.0,1,na
Lead Data Science Analyst,$66K - $106K (Glassdoor est.),"Discover
3.9","Riverwoods, IL",1001 to 5000 Employees,1985.0,Company - Public,Banks & Credit Unions,Finance,$25 to $50 million (USD),0,0,66,66,66.0,3.9,Discover,0,Riverwoods,IL,37.0,0,Sr
Clinical Data Scientist,Employer Provided Salary:$100K,"Vivante Health, Inc.",Remote,-1,-1.0,-1,-1,-1,-1,0,1,100,0,50.0,-1.0,"Vivante Health, Inc.",1,NA,NA,-1.0,-1,na
Science Data Operator,$43K - $81K (Glassdoor est.),"ADNET Systems, Inc.
3.9","Lanham, MD",201 to 500 Employees,1990.0,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),0,0,43,43,43.0,3.9,"ADNET Systems, Inc.",0,Lanham,MD,32.0,0,na
Data Scientist,$66K - $130K (Glassdoor est.),Aunalytics,"South Bend, IN",Unknown,-1.0,Company - Public,-1,-1,Unknown / Non-Applicable,0,0,66,66,66.0,-1.0,Aunalytics,0,South Bend,IN,-1.0,-1,na
Data Scientist,Employer Provided Salary:$76K - $148K,"University of Utah
4.3","Salt Lake City, UT",10000+ Employees,1850.0,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),0,1,76,76,76.0,4.3,University of Utah,0,Salt Lake City,UT,172.0,1,na
Predictive Modeler,Employer Provided Salary:$75K - $125K,"Lancer Insurance Company
3.4",Remote,201 to 500 Employees,1985.0,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),0,1,75,75,75.0,3.4,Lancer Insurance Company,1,NA,NA,37.0,0,na
Data Scientist I - US Remote Eligible,Employer Provided Salary:$76K - $129K,"EDWARD JONES
4.0","Saint Louis, MO",10000+ Employees,1922.0,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),0,1,76,76,76.0,4.0,EDWARD JONES,0,Saint Louis,MO,100.0,1,na
Data Scientist,Employer Provided Salary:$110K,Magnus Technology Group,Remote,-1,-1.0,-1,-1,-1,-1,0,1,110,0,55.0,-1.0,Magnus Technology Group,1,NA,NA,-1.0,-1,na
Senior Data Scientist - Ranking Team,Employer Provided Salary:$123K - $179K,"Indeed
4.3","Austin, TX",10000+ Employees,2004.0,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),0,1,123,123,123.0,4.3,Indeed,0,Austin,TX,18.0,1,Sr
Applied Social Scientist,Employer Provided Salary:$73K - $113K,National Security Agency,"Fort Meade, MD",Unknown,-1.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,0,1,73,73,73.0,-1.0,National Security Agency,0,Fort Meade,MD,-1.0,-1,na
Data Engineer,$115K - $125K (Employer est.),Ancera,"Branford, CT",-1,-1.0,-1,-1,-1,-1,0,0,115,115,115.0,-1.0,Ancera,0,Branford,CT,-1.0,-1,na
Data Scientist,$53K-$91K (Glassdoor est.),"Tecolote Research
3.8","Albuquerque, NM",501 to 1000 employees,1973.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),0,0,53,53,53.0,3.8,Tecolote Research,0,Albuquerque,NM,49.0,1,na
Healthcare Data Scientist,$63K-$112K (Glassdoor est.),"University of Maryland Medical System
3.4","Linthicum, MD",10000+ employees,1984.0,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),0,0,63,63,63.0,3.4,University of Maryland Medical System,0,Linthicum,MD,38.0,1,na
Data Scientist,$80K-$90K (Glassdoor est.),"KnowBe4
4.8","Clearwater, FL",501 to 1000 employees,2010.0,Company - Private,Security Services,Business Services,$100 to $500 million (USD),0,0,80,80,80.0,4.8,KnowBe4,0,Clearwater,FL,12.0,1,na
Data Scientist,$56K-$97K (Glassdoor est.),"PNNL
3.8","Richland, WA",1001 to 5000 employees,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,56,56,56.0,3.8,PNNL,0,Richland,WA,57.0,0,na
Data Scientist,$86K-$143K (Glassdoor est.),"Affinity Solutions
2.9","New York, NY",51 to 200 employees,1998.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,86,86,86.0,2.9,Affinity Solutions,0,New York,NY,24.0,0,na
Data Scientist,$71K-$119K (Glassdoor est.),"CyrusOne
3.4","Dallas, TX",201 to 500 employees,2000.0,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,71,71,71.0,3.4,CyrusOne,0,Dallas,TX,22.0,0,na
Data Scientist,$54K-$93K (Glassdoor est.),"ClearOne Advantage
4.1","Baltimore, MD",501 to 1000 employees,2008.0,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,0,0,54,54,54.0,4.1,ClearOne Advantage,0,Baltimore,MD,14.0,1,na
Data Scientist,$86K-$142K (Glassdoor est.),"Logic20/20
3.8","San Jose, CA",201 to 500 employees,2005.0,Company - Private,Consulting,Business Services,$25 to $50 million (USD),0,0,86,86,86.0,3.8,Logic20/20,0,San Jose,CA,17.0,0,na
Research Scientist,$38K-$84K (Glassdoor est.),"Rochester Regional Health
3.3","Rochester, NY",10000+ employees,2014.0,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,0,38,38,38.0,3.3,Rochester Regional Health,0,Rochester,NY,8.0,1,na
Data Scientist,$120K-$160K (Glassdoor est.),"<intent>
4.6","New York, NY",51 to 200 employees,2009.0,Company - Private,Internet,Information Technology,$100 to $500 million (USD),0,0,120,120,120.0,4.6,<intent>,0,New York,NY,13.0,0,na
Data Scientist,$126K-$201K (Glassdoor est.),"Wish
3.5","San Jose, CA",501 to 1000 employees,2011.0,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),0,0,126,126,126.0,3.5,Wish,0,San Jose,CA,11.0,1,na
Data Scientist,$64K-$106K (Glassdoor est.),"ManTech
4.1","Chantilly, VA",5001 to 10000 employees,1968.0,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,0,64,64,64.0,4.1,ManTech,0,Chantilly,VA,54.0,1,na
Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),"Walmart
3.2","Plano, TX",10000+ employees,1962.0,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),0,0,106,106,106.0,3.2,Walmart,0,Plano,TX,60.0,1,na
Data Analyst,$46K-$85K (Glassdoor est.),"Yesler
4.1","Seattle, WA",201 to 500 employees,2012.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,46,46,46.0,4.1,Yesler,0,Seattle,WA,10.0,0,na
Data Scientist,$83K-$144K (Glassdoor est.),"Takeda Pharmaceuticals
3.7","Cambridge, MA",10000+ employees,1781.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,83,83,83.0,3.7,Takeda Pharmaceuticals,0,Cambridge,MA,241.0,1,na
Data Engineer I,$102K-$190K (Glassdoor est.),"Audible
3.6","Newark, NJ",1001 to 5000 employees,1995.0,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,0,0,102,102,102.0,3.6,Audible,0,Newark,NJ,27.0,0,na
"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),"Blueprint Medicines
3.9","Cambridge, MA",51 to 200 employees,2011.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),0,0,67,67,67.0,3.9,Blueprint Medicines,0,Cambridge,MA,11.0,0,na
Customer Data Scientist,$118K-$189K (Glassdoor est.),"h2o.ai
4.3","Mountain View, CA",201 to 500 employees,2011.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,118,118,118.0,4.3,h2o.ai,0,Mountain View,CA,11.0,0,na
Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),"Nuna
4.2","San Francisco, CA",51 to 200 employees,2010.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,110,110,110.0,4.2,Nuna,0,San Francisco,CA,12.0,0,na
Data Scientist,$64K-$111K (Glassdoor est.),"Pinnacol Assurance
4.0","Denver, CO",501 to 1000 employees,1915.0,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),0,0,64,64,64.0,4.0,Pinnacol Assurance,0,Denver,CO,107.0,1,na
Data Scientist,$81K-$130K (Glassdoor est.),"Porch
3.2","Seattle, WA",201 to 500 employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,81,81,81.0,3.2,Porch,0,Seattle,WA,10.0,0,na
Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),"Health IQ
3.9","Dallas, TX",201 to 500 employees,2013.0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,0,0,73,73,73.0,3.9,Health IQ,0,Dallas,TX,9.0,0,Sr
Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),"Truckstop.com
3.8","Chicago, IL",501 to 1000 employees,1995.0,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,0,0,86,86,86.0,3.8,Truckstop.com,0,Chicago,IL,27.0,1,na
Data Scientist,$63K-$105K (Glassdoor est.),"SMC 3
4.3","Louisville, KY",51 to 200 employees,1935.0,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),0,0,63,63,63.0,4.3,SMC 3,0,Louisville,KY,87.0,0,na
Data Scientist,$109K-$177K (Glassdoor est.),"Novetta
4.0","Herndon, VA",501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,0,109,109,109.0,4.0,Novetta,0,Herndon,VA,10.0,1,na
Digital Health Data Scientist,$63K-$110K (Glassdoor est.),"Pfizer
4.0","Cambridge, MA",10000+ employees,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,63,63,63.0,4.0,Pfizer,0,Cambridge,MA,173.0,1,na
Data Scientist,$75K-$124K (Glassdoor est.),"First Tech Federal Credit Union
3.5","Hillsboro, OR",1001 to 5000 employees,1952.0,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),0,0,75,75,75.0,3.5,First Tech Federal Credit Union,0,Hillsboro,OR,70.0,0,na
Associate Data Analyst,$34K-$61K (Glassdoor est.),"The Hanover Insurance Group
3.7","Worcester, MA",5001 to 10000 employees,1852.0,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),0,0,34,34,34.0,3.7,The Hanover Insurance Group,0,Worcester,MA,170.0,1,na
Clinical Data Scientist,$63K-$105K (Glassdoor est.),"Pfizer
4.0","Groton, CT",10000+ employees,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,63,63,63.0,4.0,Pfizer,0,Groton,CT,173.0,1,na
Data Scientist,$80K-$90K (Glassdoor est.),"KnowBe4
4.8","Clearwater, FL",501 to 1000 employees,2010.0,Company - Private,Security Services,Business Services,$100 to $500 million (USD),0,0,80,80,80.0,4.8,KnowBe4,0,Clearwater,FL,12.0,1,na
Data Scientist,$56K-$97K (Glassdoor est.),"PNNL
3.8","Richland, WA",1001 to 5000 employees,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,56,56,56.0,3.8,PNNL,0,Richland,WA,57.0,0,na
Data Scientist,$72K-$120K (Glassdoor est.),"Amrock
3.6","Detroit, MI",1001 to 5000 employees,1997.0,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),0,0,72,72,72.0,3.6,Amrock,0,Detroit,MI,25.0,0,na
Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),"Novartis
3.8","Cambridge, MA",10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,86,86,86.0,3.8,Novartis,0,Cambridge,MA,26.0,1,na
Data Scientist,$93K-$149K (Glassdoor est.),"Juniper Networks
3.8","Sunnyvale, CA",5001 to 10000 employees,1996.0,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),0,0,93,93,93.0,3.8,Juniper Networks,0,Sunnyvale,CA,26.0,1,na
Data Scientist,$85K-$140K (Glassdoor est.),"New England Biolabs
4.7","Ipswich, MA",201 to 500 employees,1974.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,85,85,85.0,4.7,New England Biolabs,0,Ipswich,MA,48.0,0,na
Web Data Analyst,$77K-$135K (Glassdoor est.),"Clarity Insights
4.2","San Jose, CA",201 to 500 employees,2008.0,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,77,77,77.0,4.2,Clarity Insights,0,San Jose,CA,14.0,0,na
Data Scientist,$82K-$132K (Glassdoor est.),"Esri
3.5","Redlands, CA",1001 to 5000 employees,1969.0,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),0,0,82,82,82.0,3.5,Esri,0,Redlands,CA,53.0,0,na
Data Scientist,$83K-$137K (Glassdoor est.),"Systems & Technology Research
4.7","Woburn, MA",201 to 500 employees,2010.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,83,83,83.0,4.7,Systems & Technology Research,0,Woburn,MA,12.0,0,na
Senior Data Scientist,$115K-$180K (Glassdoor est.),"Sartorius
3.5","Fremont, CA",5001 to 10000 employees,1870.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,115,115,115.0,3.5,Sartorius,0,Fremont,CA,152.0,1,Sr
Data Engineer,$74K-$138K (Glassdoor est.),"Lancer Insurance
3.5","Long Beach, NY",201 to 500 employees,1985.0,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),0,0,74,74,74.0,3.5,Lancer Insurance,0,Long Beach,NY,37.0,0,na
Data Analyst,$64K-$112K (Glassdoor est.),"Sauce Labs
4.2","San Francisco, CA",201 to 500 employees,2008.0,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),0,0,64,64,64.0,4.2,Sauce Labs,0,San Francisco,CA,14.0,0,na
Data Engineer,$68K-$129K (Glassdoor est.),"Persivia
3.6","Marlborough, MA",1 to 50 employees,-1.0,Company - Private,-1,-1,Less than $1 million (USD),0,0,68,68,68.0,3.6,Persivia,0,Marlborough,MA,-1.0,0,na
Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),"Nuna
4.2","San Francisco, CA",51 to 200 employees,2010.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,110,110,110.0,4.2,Nuna,0,San Francisco,CA,12.0,0,na
Scientist,$52K-$113K (Glassdoor est.),"Edgewell Personal Care
3.4","Allendale, NJ",5001 to 10000 employees,2015.0,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),0,0,52,52,52.0,3.4,Edgewell Personal Care,0,Allendale,NJ,7.0,1,na
Senior Data Scientist,$110K-$150K(Employer est.),"Equity Residential
4.3","Chicago, IL",1001 to 5000 employees,1993.0,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),0,0,110,110,110.0,4.3,Equity Residential,0,Chicago,IL,29.0,0,Sr
Data Scientist,Employer Provided Salary:$150K-$160K,"BPA Services
5.0","Washington, DC",Unknown,-1.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,1,150,150,150.0,5.0,BPA Services,0,Washington,DC,-1.0,-1,na
Lead Data Scientist,$158K-$211K (Glassdoor est.),"Visa Inc.
3.7","Bellevue, WA",10000+ employees,1958.0,Company - Public,IT Services,Information Technology,$10+ billion (USD),0,0,158,158,158.0,3.7,Visa Inc.,0,Bellevue,WA,64.0,1,Sr
Associate Data Analyst,$20K-$39K (Glassdoor est.),"Intrado
3.1","Longmont, CO",5001 to 10000 employees,1986.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),0,0,20,20,20.0,3.1,Intrado,0,Longmont,CO,36.0,1,na
Spectral Scientist/Engineer,$56K-$117K (Glassdoor est.),"Centauri
4.7","Beavercreek, OH",501 to 1000 employees,1999.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,56,56,56.0,4.7,Centauri,0,Beavercreek,OH,23.0,1,na
College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),"Caterpillar
3.7","Peoria, IL",10000+ employees,1925.0,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),0,0,63,63,63.0,3.7,Caterpillar,0,Peoria,IL,97.0,1,na
Data Scientist,$68K-$114K (Glassdoor est.),"Zimmerman Advertising
3.8","Fort Lauderdale, FL",501 to 1000 employees,1984.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,68,68,68.0,3.8,Zimmerman Advertising,0,Fort Lauderdale,FL,38.0,1,na
"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),"Liberty Mutual Insurance
3.3","Boston, MA",10000+ employees,1912.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,0,86,86,86.0,3.3,Liberty Mutual Insurance,0,Boston,MA,110.0,1,na
Data Science Analyst,$41K-$95K (Glassdoor est.),"Torch Technologies, Inc.
4.6","Huntsville, AL",1001 to 5000 employees,2002.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,41,41,41.0,4.6,"Torch Technologies, Inc.",0,Huntsville,AL,20.0,0,na
Data Scientist,$86K-$144K (Glassdoor est.),"Swiss Re
3.7","Armonk, NY",10000+ employees,1863.0,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),0,0,86,86,86.0,3.7,Swiss Re,0,Armonk,NY,159.0,1,na
Data Scientist,$80K-$139K (Glassdoor est.),"Northrop Grumman
3.7","San Diego, CA",10000+ employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,0,80,80,80.0,3.7,Northrop Grumman,0,San Diego,CA,83.0,1,na
Data Scientist,$56K-$95K (Glassdoor est.),"Sartorius
3.5","Albuquerque, NM",5001 to 10000 employees,1870.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,56,56,56.0,3.5,Sartorius,0,Albuquerque,NM,152.0,1,na
Data Scientist,$120K-$189K (Glassdoor est.),"Netskope
4.1","San Francisco, CA",501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,120,120,120.0,4.1,Netskope,0,San Francisco,CA,10.0,1,na
Data Scientist,$111K-$176K (Glassdoor est.),"1904labs
4.7","Saint Louis, MO",51 to 200 employees,2016.0,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,111,111,111.0,4.7,1904labs,0,Saint Louis,MO,6.0,0,na
Data Scientist,$54K-$93K (Glassdoor est.),"ClearOne Advantage
4.1","Baltimore, MD",501 to 1000 employees,2008.0,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,0,0,54,54,54.0,4.1,ClearOne Advantage,0,Baltimore,MD,14.0,1,na
Data Scientist,$71K-$119K (Glassdoor est.),"CyrusOne
3.4","Dallas, TX",201 to 500 employees,2000.0,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,71,71,71.0,3.4,CyrusOne,0,Dallas,TX,22.0,0,na
Senior Data Scientist,$82K-$132K (Glassdoor est.),"The David J. Joseph Company
4.4","Cincinnati, OH",201 to 500 employees,1885.0,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,0,0,82,82,82.0,4.4,The David J. Joseph Company,0,Cincinnati,OH,137.0,0,Sr
Data Scientist,$84K-$146K (Glassdoor est.),"USEReady
4.3","New York, NY",201 to 500 employees,2011.0,Company - Private,Consulting,Business Services,$10 to $25 million (USD),0,0,84,84,84.0,4.3,USEReady,0,New York,NY,11.0,0,na
Senior Risk Data Scientist,$107K-$172K (Glassdoor est.),"Bill.com
3.8","Palo Alto, CA",501 to 1000 employees,2006.0,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),0,0,107,107,107.0,3.8,Bill.com,0,Palo Alto,CA,16.0,1,Sr
Data Scientist in Artificial Intelligence Early Career,$49K-$85K (Glassdoor est.),"Pacific Northwest National Laboratory
3.8","Richland, WA",1001 to 5000 employees,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,49,49,49.0,3.8,Pacific Northwest National Laboratory,0,Richland,WA,57.0,0,na
Data Scientist,$61K-$109K (Glassdoor est.),"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA",10000+ employees,1948.0,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),0,0,61,61,61.0,3.8,DICK'S Sporting Goods - Corporate,0,Coraopolis,PA,74.0,1,na
Data Scientist,$88K-$148K (Glassdoor est.),"Berg Health
2.8","Framingham, MA",51 to 200 employees,2006.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),0,0,88,88,88.0,2.8,Berg Health,0,Framingham,MA,16.0,0,na
Data Scientist,$60K-$99K (Glassdoor est.),"Oversight Systems
4.7","Atlanta, GA",51 to 200 employees,2003.0,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),0,0,60,60,60.0,4.7,Oversight Systems,0,Atlanta,GA,19.0,0,na
Data Scientist - Research,$41K-$72K (Glassdoor est.),"C Space
3.1","Boston, MA",201 to 500 employees,1999.0,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),0,0,41,41,41.0,3.1,C Space,0,Boston,MA,23.0,0,na
Data Scientist,$96K-$161K (Glassdoor est.),"Numeric, LLC
3.2","Philadelphia, PA",1 to 50 employees,-1.0,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),0,0,96,96,96.0,3.2,"Numeric, LLC",0,Philadelphia,PA,-1.0,0,na
R&D Data Analysis Scientist,$65K-$130K (Glassdoor est.),"HP Inc.
4.0","Vancouver, WA",10000+ employees,1939.0,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,65,65,65.0,4.0,HP Inc.,0,Vancouver,WA,83.0,1,na
Analytics Consultant,$52K-$81K (Glassdoor est.),"SpringML
4.4","Indianapolis, IN",1 to 50 employees,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,52,52,52.0,4.4,SpringML,0,Indianapolis,IN,7.0,0,na
